Edible,CapSurface,CapColor,GillSize
poisonous,scaly,white,narrow
edible,fibrous,brown,broad
edible,fibrous,white,broad
poisonous,smooth,brown,narrow
poisonous,scaly,white,narrow
poisonous,smooth,brown,narrow
edible,smooth,yellow,broad
poisonous,scaly,brown,narrow
edible,scaly,yellow,broad
edible,scaly,white,broad
edible,smooth,white,broad
poisonous,smooth,white,narrow
edible,scaly,yellow,broad
edible,scaly,white,broad
edible,fibrous,brown,narrow
edible,smooth,yellow,narrow
edible,smooth,yellow,broad
poisonous,scaly,white,narrow
